"FBgn"	"RefSeqID"	"Chr"	"Start"	"End"	"Score"	"Strand"	"IC_4_6_K4me3_1"	"IC_4_6_K4me3_2"	"IC_6_8_K4me3_1"	"IC_6_8_K4me3_2"	"IC_8_10_K4me3_1"	"IC_8_10_K4me3_2"	"VC_4_6_K4me3_1"	"VC_4_6_K4me3_2"	"VC_68_K4me3_1_1"	"VC_68_K4me3_2_1"	"VC_810_K4me3_1_1"	"VC_810_K4me3_2_1"	"IC_4_6_K27ac_1"	"IC_4_6_K27ac_3"	"IC_6_8_K27ac_1"	"IC_6_8_K27ac_3"	"IC_8_10_K27ac_1"	"IC_8_10_K27ac_2"	"VC_4_6_K27ac_1"	"VC_4_6_K27ac_2"	"VC_68_K27ac_1_1"	"VC_68_K27ac_2_1"	"VC_810_K27ac_1_1"	"VC_810_K27ac_2_1"	"IC_4_6_K79me3_1"	"IC_4_6_K79me3_2"	"IC_6_8_K79me3_1"	"IC_6_8_K79me3_2"	"IC_8_10_K79me3_1"	"IC_8_10_K79me3_2"	"VC_4_6_K79me3_1"	"VC_4_6_K79me3_2"	"VC_68_K79me3_1_1"	"VC_68_K79me3_2_1"	"VC_810_K79me3_1_1"	"VC_810_K79me3_2_1"	"IC_4_6_K4mono_1"	"IC_4_6_K4mono_2"	"IC_6_8_K4mono_1"	"IC_6_8_K4mono_2"	"IC_8_10_K4mono_1"	"IC_8_10_K4mono_2"	"VC_4_6_K4mono_1"	"VC_4_6_K4mono_2"	"VC_68_K4mono_1_1"	"VC_68_K4mono_2_1"	"VC_810_K4mono_1_1"	"VC_810_K4mono_2_1"	"IC_4_6_K27me3_1"	"IC_4_6_K27me3_2"	"IC_6_8_K27me3_2"	"IC_6_8_K27me3_3"	"IC_8_10_K27me3_1"	"IC_8_10_K27me3_2"	"VC_4_6_K27me3_1"	"VC_4_6_K27me3_2"	"VC_68_K27me3_1_1"	"VC_68_K27me3_2_1"	"VC_810_K27me3_1_1"	"VC_810_K27me3_2_1"	"All_RefSeq"	"Gene"	"4-6h_Ind-neg_1"	"4-6h_Ind-neg_2"	"4-6h_Ind-pos_1"	"4-6h_Ind-pos_2"	"6-8h_Ind-neg_1"	"6-8h_Ind-neg_2"	"6-8h_Ind-pos_1"	"6-8h_Ind-pos_2"	"4-6h_Vnd-neg_1"	"4-6h_Vnd-neg_2"	"4-6h_Vnd-pos_1"	"4-6h_Vnd-pos_2"	"6-8h_Vnd-neg_1"	"6-8h_Vnd-neg_2"	"6-8h_Vnd-pos_1"	"6-8h_Vnd-pos_2"	"4-6h_Pros-neg_1"	"4-6h_Pros-neg_2"	"4-6h_Pros-pos_1"	"4-6h_Pros-pos_2"	"6-8h_Pros-neg_1"	"6-8h_Pros-neg_2"	"6-8h_Pros-pos_1"	"6-8h_Pros-pos_2"	"6-8h_Elav-neg_1"	"6-8h_Elav-neg_2"	"6-8h_Elav-pos_1"	"6-8h_Elav-pos_2"	"8-10h_Elav-neg_1"	"8-10h_Elav-neg_2"	"8-10h_Elav-pos_1"	"8-10h_Elav-pos_2"	"18-22h_Elav-neg_1"	"18-22h_Elav-neg_2"	"18-22h_Elav-pos_1"	"18-22h_Elav-pos_2"	"6-8h_Repo-neg_1"	"6-8h_Repo-neg_2"	"6-8h_Repo-pos_1"	"6-8h_Repo-pos_2"	"8-10h_Repo-neg_1"	"8-10h_Repo-neg_2"	"8-10h_Repo-pos_1"	"8-10h_Repo-pos_2"	"18-22h_Repo-neg_1"	"18-22h_Repo-neg_2"	"18-22h_Repo-pos_1"	"18-22h_Repo-pos_2"	"CGID"	"Symbol"	"Biotype"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Norm_avrg_A"	"Norm_avrg_B"	"log2FC_norm_count"	"IC_46_pos_mean"	"VC_46_pos_mean"	"VC_46_neg_mean"	"IC_46_neg_mean"	"VC_46_log2FC_over_neg"	"IC_46_log2FC_over_neg"	"Tissue_46_log2FC_VCvsIC_VST"	"IC_68_pos_mean"	"VC_68_pos_mean"	"VC_68_neg_mean"	"IC_68_neg_mean"	"VC_68_log2FC_over_neg"	"IC_68_log2FC_over_neg"	"Tissue_68_log2FC_VCvsIC_VST"	"Temp_VC_46vs68"	"Temp_IC_46vs68"
"FBgn0038149"	"NM_142030.4"	"3R"	13401662	13401862	500	"-"	27	38	89	37	238	539	205	171	107	119	695	466	186	191	318	3	646	490	326	125	444	413	760	699	71	323	21	67	56	137	85	46	45	67	76	26	190	314	253	221	405	170	266	115	558	398	600	653	57	90	79	69	81	34	83	29	50	51	58	39	"''NM_142030.4''"	"''GILT1 CG9796''"	11.9513902736053	11.9392606354573	12.3730187438909	12.4472921532736	11.4624122727812	11.4064965856024	12.1990583494771	11.9547309525572	11.8965185116226	11.8569930830459	12.151394241179	12.3681137293779	10.9776321977448	10.6646847705671	11.1191064977293	10.9579325431527	12.3973501486202	12.3834344854652	11.9313347490631	12.2585289212146	12.356816780162	12.1566328207543	12.2900614289344	11.8254874427168	11.5088531016084	12.0604094272116	10.7440895094557	11.6460849512881	13.2250579464441	12.8051635469853	11.4596973441096	10.3341627473574	12.4817528703172	11.3879840432493	11.2529616585539	11.5347480541304	11.4992365280647	11.2496398753818	13.6581130764371	13.4679742545281	11.2835900754104	10.8937994279991	12.7460055609427	12.5271677823253	11.466160814117	11.6933818389413	14.1794583732184	14.0613431257938	"CG9796"	"GILT1"	"protein_coding"	395.487726311338	1.86060755800697	0.266849441910721	6.97249934151808	3.11359118160609e-12	0.000305965457402024	170.768288931174	620.207163691502	-1.8607100934194	12.4101554485822	12.2597539852785	11.8767557973343	11.9453254545313	0.0457892192807371	0.0550750256043564	-0.0175911576952999	12.0768946510172	11.038519520441	10.8211584841559	11.4344544291918	0.0286917332164676	0.0788620078846063	-0.129702848429276	0.151383337260508	0.0392716465265316
"FBgn0037619"	"NM_141566.2"	"3R"	8726853	8727053	500	"+"	85	65	33	145	290	561	398	267	232	305	1134	918	137	137	212	24	434	374	328	122	564	414	733	796	17	153	2	54	43	30	61	45	34	46	52	28	83	210	153	59	109	112	118	69	360	219	320	400	63	5	1	31	58	25	54	12	35	27	35	35	"''NM_141566.2''"	"''Dmel\CG8159 CG8159-RB CG8159 Dmel_CG8159''"	9.35364422586984	9.21698301844935	9.46658097688632	9.5522818599059	9.17853830263675	9.40359269366457	9.16449971600663	9.48628792605661	9.44702767486147	9.67739360519728	9.83755923960845	9.64150139518436	9.59316697011855	9.67887730743777	9.7033556394025	9.77131049662906	9.71487174863253	9.85153082204705	9.41733109705008	9.29491699641511	9.38709789603449	9.3577347974481	9.32243938050995	9.47148819851514	9.61360805933972	9.42877365660592	9.87349169377718	9.48255179823381	9.63536001490375	9.83554131486691	9.85421666119305	9.78893420633365	9.4436175872185	9.78207486765647	9.85001649155774	9.83164942505531	9.09030548880438	9.42348813895635	9.61930347643124	10.0321552181209	9.53256368436773	9.76826374534851	9.76975752450523	9.93279917139232	9.61395318683205	9.73029515847025	9.47586586076592	9.5780442651312	"CG8159"	"CG8159"	"protein_coding"	282.445804278379	1.8285319802216	0.285645258996749	6.40140846952551	1.5395009465371e-10	0.00199205461069263	124.098527986745	440.793080570013	-1.8286155742909	9.50943141839611	9.7395303173964	9.56221064002937	9.2853136221596	0.0265080146687631	0.0344084433314992	0.0344931179405626	9.32539382103162	9.73733306801578	9.63602213877816	9.29106549815066	0.0150889823670493	0.00532059898890645	0.0623620373827035	0.000325510400288382	0.0281944298424293
"FBgn0033439"	"NM_136668.4"	"2R"	9706266	9706466	500	"+"	38	48	37	59	23	7	22	24	27	12	71	62	204	126	287	119	413	443	370	147	622	475	773	572	122	243	80	123	91	182	100	39	85	57	110	38	243	350	274	123	331	303	158	97	407	324	682	865	580	127	228	434	122	153	327	256	249	204	183	168	"''NM_136668.4''"	"''CG1773 Dmel_CG1773''"	9.21168196721645	9.12827917561808	9.46928927630904	9.17820003484556	9.16488170979501	9.22001883141545	9.0158201420206	9.19349863415507	9.36352797477744	9.21912474257053	9.52253213615982	9.35476287942017	9.36517750729006	9.55381871189723	9.55774849900039	9.26592018755828	9.59628823965306	9.29558037695946	9.33106846708127	9.3671069915806	9.2642694931258	9.2321932929941	9.22714689489093	9.32082901753867	9.3461028326983	9.4217875162727	9.21576597180125	9.06253652597088	9.64766668542875	9.48523929184974	9.12234613242307	9.77617634173918	9.46124218594314	9.81402462999928	9.35206691397214	9.41216517590885	9.33591916817571	9.24343403236577	9.33863389018966	9.21858729180525	9.35209434224159	9.44512984725622	9.36059006249519	9.53764811082611	9.46753371224732	9.4568262079454	9.23801105357986	9.21305515155364	"CG1773"	"CG1773"	"protein_coding"	307.755202921734	1.64424563051137	0.301680430548717	5.45028932609485	5.02879417032371e-08	0.0184215121944986	149.156214685616	466.354191157853	-1.64460199335649	9.3237446555773	9.43864750778999	9.29132635867398	9.16998057141726	0.0226955868655952	0.0239908175252833	0.0176706515943182	9.10465938808784	9.41183434327933	9.45949810959365	9.19245027060523	-0.00728771279783241	-0.0138444208022605	0.0478708821161486	0.00410421822258251	0.0343044487444126
"FBgn0250906"	"NM_001273028.1"	"2L"	2750789	2750989	500	"-"	102	19	57	64	161	202	123	192	259	213	252	271	514	462	806	331	879	855	931	297	1471	1462	1387	1369	44	282	138	104	146	176	147	94	155	116	140	33	323	741	619	481	695	587	501	256	1062	813	1091	1269	48	37	3	65	5	20	37	11	33	37	43	21	"''NM_057328.4,NM_001273030.1,NM_001273027.1,NM_001273028.1,NM_001273029.1''"	"''Pgk 169C9S anon-sts18 Dmel\CG3127 ESTS:169C9S l(2)23AB3 l(2)23Ac PGK pgk pgk1 CG3127 Dmel_CG3127''"	10.9410238101929	10.8415292358975	10.5845936551296	10.682210911492	10.3936412346283	10.3613461193723	10.5260078998929	10.5088409536608	10.6000848813067	10.629422858891	10.6923375384154	10.6759262204602	10.528825996217	10.525831157042	10.6128952865822	10.6210085795922	10.6079012285143	10.5690078987073	10.5212974542816	10.4264698419236	10.4054940274252	10.4646732836109	10.5863839915514	10.3835745413472	10.4038961229079	10.4819164862621	10.5343060857359	10.7751799732321	10.4507258412605	10.4145200891325	10.5790460383374	10.4575563816894	11.9298136319486	11.0842264874096	11.8047277321777	11.6506890604819	10.3931755359476	10.6877557190055	10.5879698889977	11.0205887819995	10.391584217739	10.3740663315634	10.6641053389131	10.6022587505227	11.5627206957426	11.5436376468943	12.9444090089217	12.4305410644823	"CG3127"	"Pgk"	"protein_coding"	693.550374799354	1.09710570576345	0.208765354915738	5.25520964053766	1.47855952060242e-07	0.01948028845435	441.84071425992	945.260035338788	-1.09718489592405	10.6334022833108	10.6841318794378	10.6147538700988	10.8912765230452	0.00939876998268961	-0.034569778351089	0.0068664109417601	10.5174244267768	10.6169519330872	10.5273285766295	10.3774936770003	0.0122302526394475	0.0193233987130029	0.0135881843699119	0.00910005309073711	0.0158218265188889
"FBgn0016726"	"NM_166438.4"	"2R"	21293767	21293967	500	"+"	200	308	672	766	1669	2467	2065	1535	2212	2389	2809	2534	275	205	522	15	653	450	510	205	643	754	688	1034	144	867	310	132	289	439	191	129	209	314	254	74	72	112	50	49	47	24	117	40	156	130	96	75	21	36	28	35	31	43	75	22	35	21	65	57	"''NM_166438.4,NM_057855.6,NM_166437.4''"	"''RpL29 RpL43 CG10071''"	13.6471052112151	13.7906544847133	13.611108795011	14.0074606666327	12.9281112747925	13.0008251683859	12.9245390002168	12.8203875004939	12.7051440445619	12.4212362065926	12.3037489186341	12.4740729878667	12.4975895057661	12.3389786859538	11.859682854234	12.0914891023131	12.5514179824951	12.6684496645269	12.4973049882131	12.6928949011793	12.1947055574145	12.6489403623894	12.243276536532	12.1586737429735	12.6629039690982	12.76667118996	12.642704759557	11.6891314788838	12.7436056588851	12.1809668144921	12.4022742328084	11.1526333288129	13.3594303354273	12.3478179695057	11.5916809026195	12.1582531112418	12.7914130920202	12.6276165880852	13.0066414788048	12.6510866765884	12.958096624995	12.95757178362	12.5055612568405	11.7688001953319	12.5456630793638	12.3274553952552	12.4048042769976	12.4625958151185	"CG10071"	"RpL29"	"protein_coding"	409.829648829533	1.47217602204172	0.284527556354099	5.17410700357465	2.29003564801021e-07	0.0224724744332236	217.124700028076	602.53459763099	-1.47252022773647	13.8092847308219	12.3889109532504	12.5631901255773	13.7188798479642	-0.0201534761004582	0.00947590564524364	-0.156589222337557	12.8724632503554	11.9755859782735	12.4182840958599	12.9644682215892	-0.0523695917383732	-0.0102748793477608	-0.104191901080469	0.0489531226939627	0.101350443951051
NA	"NM_166438.4"	"2R"	21293767	21293967	500	"+"	200	308	672	766	1669	2467	2065	1535	2212	2389	2809	2534	275	205	522	15	653	450	510	205	643	754	688	1034	144	867	310	132	289	439	191	129	209	314	254	74	72	112	50	49	47	24	117	40	156	130	96	75	21	36	28	35	31	43	75	22	35	21	65	57	"''NM_166438.4,NM_057855.6,NM_166437.4''"	"''NA''"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	409.829648829533	1.47217602204172	0.284527556354099	5.17410700357465	2.29003564801021e-07	0.0224724744332236	217.124700028076	602.53459763099	-1.47252022773647	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"NR_133153.1"	"3L"	1649499	1649699	500	"-"	36	63	82	139	731	880	630	410	376	384	1240	859	239	192	262	126	500	427	446	139	549	502	839	798	137	732	164	187	215	426	142	151	298	260	361	90	118	268	167	129	189	139	190	95	363	305	360	397	53	14	44	55	89	33	63	30	52	44	45	27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	350.380821468787	1.37449492037609	0.269818615385842	5.09414414720998	3.50320159387603e-07	0.0284814603412588	195.021985659055	505.739657278519	-1.37475813668641	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"FBgn0010228"	"NM_001299766.1"	"2R"	21707661	21707861	500	"-"	16	5	62	32	43	41	27	35	38	56	91	77	406	342	664	184	693	683	601	251	968	995	1086	959	44	218	63	75	142	52	61	35	36	68	60	14	358	856	617	424	768	655	424	240	1047	961	1330	1465	40	3	2	11	35	24	58	15	45	34	40	22	"''NM_001299765.1,NM_166476.2,NM_166477.2,NM_001299766.1''"	"''HmgZ CG17921 Dmel_CG17921''"	14.2035924646087	13.848825214319	14.877954778694	15.014814113823	14.953626664755	15.1958937003345	15.1183144853921	15.1525614283335	13.2376606279828	13.0283240366936	13.4607565686886	13.650717301774	14.0337810870564	13.8816525595594	13.5624853327006	13.6734581886987	13.5538787374321	14.0422325351225	14.9991227079032	15.454021816594	13.6814992478774	14.4321989427252	14.8222411168093	14.6713158189113	14.6644548213927	13.8945073185825	15.0212965920298	14.3383225245783	13.5465241738259	13.5939595419562	14.3745302931251	14.1386811572676	13.1087840656673	12.3094680459584	13.8168346051147	14.0204547933008	14.9761137387299	15.1032969261147	14.5328227406435	13.5290427773258	14.5975571822201	14.3449610577565	13.9134879757959	13.1766831267028	13.3586325833375	13.2360915602513	12.3565174329634	12.5012745439106	"CG17921"	"HmgZ"	"protein_coding"	544.285701600003	1.14756897168101	0.226640154352679	5.0633965325282	4.11851952018343e-07	0.0293067856393182	338.529243239076	750.04215996093	-1.14769122815476	14.9463844462585	13.5557369352313	13.1329923323382	14.0262088394638	0.0457078754816416	0.091671422540292	-0.140892991404827	15.1354379568628	13.6179717606996	13.9577168233079	15.0747601825448	-0.0355511209254502	0.00579537025298786	-0.152418574767293	-0.00660830158026197	-0.018133884942728
"FBgn0032689"	"NM_136043.3"	"2L"	18604822	18605022	500	"-"	110	76	162	184	533	1098	898	589	630	736	1988	1473	454	308	499	157	809	685	698	261	1118	1011	1239	1101	54	252	106	15	105	110	119	74	84	81	105	35	484	682	607	406	492	327	662	188	1175	868	759	858	73	3	70	105	50	53	64	17	55	34	57	44	"''NM_136043.3,NM_001299119.1''"	"''Dmel\CG10413 CG10413 Dmel_CG10413''"	11.2174818456379	11.4017814180102	11.1920205475499	11.5696208169436	11.5317655908352	11.4111238151771	11.0101328713453	10.7714153505602	11.9223067495626	11.9135506268025	11.8081707039367	11.8347665006978	11.5912874548121	11.4243805175334	11.1880151223763	11.1817818959048	11.9808808098146	12.1138723014897	11.7792005873443	11.6286138740451	11.9563563838719	11.6387807221579	11.8660888973517	11.6228026667314	11.2743159046286	12.2225261616036	11.5015976553806	12.1398262939963	13.3862590800706	12.5818983768147	12.1827942949253	11.4235609259569	13.1999162554051	11.8604070167281	11.7599692333834	12.1567821339658	11.3308633869857	11.6176909074625	13.7075056188107	13.4166775758887	12.0377623667294	11.8092092240094	13.1079590082354	12.6631915789611	12.2734382705559	12.0711249421638	13.3236097587039	13.6016366785985	"CG10413"	"CG10413"	"protein_coding"	579.833406297534	1.24203129509857	0.251544046543485	4.93762946158162	7.90779101069064e-07	0.0374448437458379	344.548860345414	815.117952249654	-1.24230025522611	11.3808206822467	11.8214686023172	11.9179286881825	11.3096316318241	-0.0117242448659816	0.00905265576663952	0.0548046796869905	10.8907741109528	11.1848985091405	11.5078339861728	11.4714447030061	-0.0410641482349119	-0.0749405906938058	0.0384456617942443	0.0798571096914274	0.0634980917986811
"FBgn0033440"	"NM_136669.4"	"2R"	9707535	9707735	500	"+"	13	28	55	18	44	14	11	16	27	22	64	75	411	241	421	32	636	712	464	217	1038	784	1161	786	79	278	27	125	82	202	88	72	96	88	129	56	226	547	341	199	479	445	225	146	574	438	904	1076	833	80	127	470	301	191	265	247	241	209	184	101	"''NM_136669.4''"	"''CG10459 Dmel_CG10459''"	9.21220812501471	8.9510501758029	9.39756389528411	9.40091845594793	9.25413424986832	9.34977334842024	9.21511203865061	9.2379124526819	9.48217383804949	9.43070514450252	9.6645394640936	9.52598606435576	9.60110136319251	9.64408935628446	9.58738544147499	9.66729408569232	9.50973366980486	9.26486627306648	9.43938506839744	9.13937458924662	9.27662958259424	9.31527238853477	9.13514110865001	9.27970433518233	9.29056966109468	9.39836664001698	9.29358212680153	9.15734438627466	9.51452355144929	9.62394707321866	9.24944137300604	9.62939840439867	9.13752811693398	9.84767505845392	9.54634812178884	9.11723430269437	9.14851895054404	9.36790841996385	9.06995776562853	9.65215646886463	9.4290252992819	9.60195716584266	9.25847546420005	9.79988379207544	9.4335739743954	9.32974747501634	9.26032353566866	9.41907099961055	"CG10459"	"CG10459"	"protein_coding"	514.420596110431	1.31703008175332	0.273043498385186	4.82351745982749	1.41048413915028e-06	0.0452208606333664	294.63427846217	734.206913758692	-1.31726141307735	9.39924117561602	9.59526276422468	9.456439491276	9.0816291504088	0.0210252280361488	0.0495931637796716	0.02977802576586	9.22651224566625	9.62733976358366	9.62259535973849	9.30195379914428	0.000711142972082098	-0.0117483828700907	0.0613518147134661	-0.00481489130200366	0.0267588976456028
